name,lon,lat,datetime,ele,cmt,desc,sym,extensions,sourcefile
CT15,-76.258817,24.883417,2014-07-04T14:25:40Z,-1.248304,NA,NA,Beach,NA,Waypoints_04-JUL-14.gpx
Calgary,-76.260102,24.884792,2019-05-11T17:00:30Z,-7.041425,NA,NA,Beach,,
Vancouver,-76.260322,24.88526,2019-05-11T17:01:54Z,-8.700894,NA,NA,Beach,,
Lakeisha,-76.262617,24.862133,2014-07-04T14:30:02Z,5.158108,NA,NA,Beach,NA,Waypoints_04-JUL-14.gpx
74Tall,-76.25735301,24.85711003,2012-10-03T15:49:00Z,2.529175,NA,NA,Beach,SymbolAndNameCEI sites,Waypoints.gpx
96S,-76.25775299,24.86374003,2012-10-03T15:49:00Z,-2.5177,NA,NA,Beach,SymbolAndNameCEI sites,Waypoints.gpx
Biscuit,-76.26735002,24.851367,2012-10-03T15:49:00Z,-7.564575,05-OCT-10 8:12:12AM,05-OCT-10 8:12:12AM,Beach,SymbolAndNameCEI sites,Waypoints.gpx
Shit'sCreek,-76.24256,24.81291,2019-05-13T13:41:29Z,12,NA,NA,Beach,,
94North,-76.26096603,24.81939599,2012-10-03T15:49:00Z,-8.045288,NA,NA,Beach,SymbolAndNameCEI sites,Waypoints.gpx
94Urchin,-76.26096603,24.81939599,2012-10-03T15:49:00Z,-8.045288,NA,NA,Beach,SymbolAndNameCEI sites,Waypoints.gpx
Angel2,-76.247659,24.82399,2019-05-13T15:56:38Z,14.361756,NA,NA,Beach,,
Damsel,-76.255838,24.820622,2019-05-13T17:08:47Z,8.882889,NA,NA,Beach,,
F5Small,-76.24753,24.82288303,2013-01-05T14:33:49Z,0,NA,NA,Beach,SymbolAndNameCEI sites,Waypoints.gpx
New2,-76.263267,24.820817,2013-01-07T14:11:18Z,5.315544,MTIASIC,NA,Beach,NA,Waypoints_07-JAN-13.gpx
Montreal,-76.263468,24.820924,2019-05-14T13:32:50Z,0.355087,NA,NA,Beach,,
Cow,-76.265989,24.818844,2019-05-14T14:37:32Z,4.59999,NA,NA,Beach,,
E2,-76.266,24.81435,2014-07-04T14:32:07Z,-7.217061,NA,NA,Beach,NA,Waypoints_04-JUL-14.gpx
Cooda,-76.267879,24.81475,2019-05-14T16:13:51Z,6.837922,NA,NA,Beach,,
E1,-76.26444602,24.81238897,2012-10-03T15:49:00Z,0,TILE,NA,Beach,SymbolAndNameCEI sites,Waypoints.gpx
IMC,-76.262752,24.811689,2019-05-14T19:10:36Z,5.527695,NA,NA,Beach,,
119,-76.273583,24.823233,2013-01-07T14:30:35Z,7.953829,MTIASIC,NA,Beach,NA,Waypoints_07-JAN-13.gpx
71,-76.27264998,24.83281701,2012-10-03T15:49:00Z,0,NA,NA,Beach,SymbolAndNameCEI sites,Waypoints.gpx
LS02,-76.276583,24.841433,2014-07-04T14:27:30Z,7.335411,NA,NA,Beach,NA,Waypoints_04-JUL-14.gpx
Check1,-76.270767,24.84155,2014-07-04T14:09:57Z,17.078857,NA,NA,Beach,NA,Waypoints_04-JUL-14.gpx
57,-76.26262103,24.84283598,2012-10-03T15:49:00Z,0,NA,NA,Beach,SymbolAndNameCEI sites,Waypoints.gpx
90Stop,-76.25416101,24.84634297,2012-10-03T15:49:00Z,-7.083984,NA,NA,"Flag, Blue",SymbolAndNameCEI sites,Waypoints.gpx
76,-76.25828097,24.85207502,2012-10-03T15:49:00Z,3.730835,NA,NA,"Flag, Blue",SymbolAndNameCEI sites,Waypoints.gpx
Check5,-76.250533,24.846717,2014-07-04T14:17:37Z,4.191963,NA,NA,Crossing,NA,Waypoints_04-JUL-14.gpx
78S,-76.24708501,24.85274599,2012-10-03T15:49:00Z,3.490479,NA,NA,"Flag, Blue",SymbolAndNameCEI sites,Waypoints.gpx
FFA,-76.244734,24.851025,2014-06-18T18:55:03Z,4.278374,NA,NA,"Flag, Blue",NA,Waypoints_18-JUN-14.gpx
Josh,-76.24934703,24.844133,2012-10-03T15:49:00Z,0,NA,NA,"Flag, Blue",SymbolAndNameCEI sites,Waypoints.gpx
85,-76.24768498,24.83654201,2012-10-03T15:49:00Z,1.327515,NA,NA,"Flag, Blue",SymbolAndNameCEI sites,Waypoints.gpx
NF15,-76.24149,24.82254,2015-05-09T17:24:47Z,10.837643,NA,NA,"Flag, Green",NA,Waypoints_09-MAY-15.gpx
NF17,-76.25243,24.83296,2015-05-09T11:55:41Z,13.236124,NA,NA,Crossing,NA,Waypoints_09-MAY-15.gpx
Check3,-76.257383,24.831183,2014-07-04T14:11:20Z,18.673912,NA,NA,Crossing,NA,Waypoints_04-JUL-14.gpx
