"Rachel Munger, SFU - seaweed samples",,,,,,,,,,,,,,,,,,,
February 8/2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
SAMPLE,%total N,%total C,,,,,,,,,,,,,,,,,
1,1.861,36.836,,,,,,,,,,,,,,,,,
2,1.792,37.631,,,,,,,,,,,,,,,,,
3,1.866,37.536,,,,,,,,,,,,,,,,,
4,1.807,37.909,,,,,,,,,,,,,,,,,
5,1.793,37.787,,,,,,,,,,,,,,,,,
6,1.885,37.806,,,,,,,,,,,,,,,,,
7,1.864,38.112,,,,,,,,,,,,,,,,,
8,1.793,37.758,,,,,,,,,,,,,,,,,
9,1.769,38.760,,,,,,,,,,,,,,,,,
10,2.061,38.661,,,,,,,,,,,,,,,,,
11,1.869,38.338,,,,,,,,,,,,,,,,,
12,1.837,37.978,,,,,,,,,,,,,,,,,
13,1.856,37.465,,,,,,,,,,,,,,,,,
14,1.831,37.091,,,,,,,,,,,,,,,,,
15,1.766,37.123,,,,,,,,,,,,,,,,,
16,1.860,37.696,,,,,,,,,,,,,,,,,
17,1.917,38.333,,,,,,,,,,,,,,,,,
18,1.802,37.832,,,,,,,,,,,,,,,,,
19,1.907,38.891,,,,,,,,,,,,,,,,,
20,1.899,39.306,,,,,,,,,,,,,,,,,
21,1.972,38.855,,,,,,,,,,,,,,,,,
22,1.842,38.094,,,,,,,,,,,,,,,,,
23,1.816,37.799,,,,,,,,,,,,,,,,,
24,1.715,37.391,,,,,,,,,,,,,,,,,
25,1.755,37.888,,,,,,,,,,,,,,,,,
26,1.858,37.840,,,,,,,,,,,,,,,,,
27,1.911,38.297,,,,,,,,,,,,,,,,,
28,1.971,37.071,,,,,,,,,,,,,,,,,
29,1.970,37.052,,,,,,,,,,,,,,,,,
30,1.760,36.721,,,,,,,,,,,,,,,,,
31,1.893,37.880,,,,,,,,,,,,,,,,,
32,1.901,38.051,,,,,,,,,,,,,,,,,
33,1.789,37.467,,,,,,,,,,,,,,,,,
34,1.886,37.965,,,,,,,,,,,,,,,,,
35,1.757,38.205,,,,,,,,,,,,,,,,,
36,1.899,38.025,,,,,,,,,,,,,,,,,
37,1.694,36.617,,,,,,,,,,,,,,,,,
38,1.735,36.868,,,,,,,,,,,,,,,,,
39,1.777,37.799,,,,,,,,,,,,,,,,,
40,1.931,38.174,,,,,,,,,,,,,,,,,
41,1.782,37.657,,,,,,,,,,,,,,,,,
42,1.646,37.117,,,,,,,,,,,,,,,,,
43,1.667,37.728,,,,,,,,,,,,,,,,,
44,1.654,37.508,,,,,,,,,,,,,,,,,
45,1.719,37.205,,,,,,,,,,,,,,,,,
46,1.797,37.638,,,,,,,,,,,,,,,,,
47,1.798,37.533,,,,,,,,,,,,,,,,,
48,1.733,36.733,,,,,,,,,,,,,,,,,
49,1.789,37.584,,,,,,,,,,,,,,,,,
50,1.804,37.214,,,,,,,,,,,,,,,,,
51,1.865,37.248,,,,,,,,,,,,,,,,,
52,1.776,36.355,,,,,,,,,,,,,,,,,
53,1.931,37.082,,,,,,,,,,,,,,,,,
54,1.869,36.648,,,,,,,,,,,,,,,,,
55,1.641,36.035,,,,,,,,,,,,,,,,,
56,1.682,36.751,,,,,,,,,,,,,,,,,
57,1.857,36.861,,,,,,,,,,,,,,,,,
58,1.661,36.513,,,,,,,,,,,,,,,,,
59,1.903,37.573,,,,,,,,,,,,,,,,,
60,1.899,37.573,,,,,,,,,,,,,,,,,
61,1.731,37.777,,,,,,,,,,,,,,,,,
62,1.550,36.825,,,,,,,,,,,,,,,,,
63,1.717,37.186,,,,,,,,,,,,,,,,,
64,1.542,35.321,,,,,,,,,,,,,,,,,
65,1.709,36.721,,,,,,,,,,,,,,,,,
66,1.700,36.222,,,,,,,,,,,,,,,,,
67,1.673,37.535,,,,,,,,,,,,,,,,,
68,1.742,37.342,,,,,,,,,,,,,,,,,
69,1.821,37.729,,,,,,,,,,,,,,,,,
70,1.765,37.397,,,,,,,,,,,,,,,,,
71,1.716,37.011,,,,,,,,,,,,,,,,,
72,1.629,36.556,,,,,,,,,,,,,,,,,
73,1.799,37.126,,,,,,,,,,,,,,,,,
74,1.661,37.587,,,,,,,,,,,,,,,,,
75,1.758,37.706,,,,,,,,,,,,,,,,,
76,1.847,36.485,,,,,,,,,,,,,,,,,
77,1.706,36.129,,,,,,,,,,,,,,,,,
78,1.683,36.172,,,,,,,,,,,,,,,,,
79,1.713,37.548,,,,,,,,,,,,,,,,,
80,1.680,37.868,,,,,,,,,,,,,,,,,
81,1.768,37.473,,,,,,,,,,,,,,,,,
82,1.850,37.950,,,,,,,,,,,,,,,,,
83,1.878,37.684,,,,,,,,,,,,,,,,,
84,1.827,37.627,,,,,,,,,,,,,,,,,
85,1.849,33.356,,,,,,,,,,,,,,,,,
86,1.590,33.688,,,,,,,,,,,,,,,,,
87,1.555,33.743,,,,,,,,,,,,,,,,,
88,2.026,37.438,,,,,,,,,,,,,,,,,
89,1.737,37.388,,,,,,,,,,,,,,,,,
90,1.769,36.910,,,,,,,,,,,,,,,,,
91,1.572,36.620,,,,,,,,,,,,,,,,,
92,1.597,36.553,,,,,,,,,,,,,,,,,
93,1.713,36.796,,,,,,,,,,,,,,,,,
94,1.575,35.544,,,,,,,,,,,,,,,,,
95,1.698,36.076,,,,,,,,,,,,,,,,,
96,1.751,36.517,,,,,,,,,,,,,,,,,
97,2.023,37.830,,,,,,,,,,,,,,,,,
98,1.728,36.998,,,,,,,,,,,,,,,,,
99,1.787,36.697,,,,,,,,,,,,,,,,,
100,1.914,35.712,,,,,,,,,,,,,,,,,
101,1.737,35.409,,,,,,,,,,,,,,,,,
102,1.737,35.104,,,,,,,,,,,,,,,,,
103,1.742,37.186,,,,,,,,,,,,,,,,,
104,1.623,36.666,,,,,,,,,,,,,,,,,
105,1.672,36.478,,,,,,,,,,,,,,,,,
106,1.735,35.990,,,,,,,,,,,,,,,,,
107,1.694,36.246,,,,,,,,,,,,,,,,,
108,1.823,36.374,,,,,,,,,,,,,,,,,
109,1.776,37.632,,,,,,,,,,,,,,,,,
110,1.825,38.028,,,,,,,,,,,,,,,,,
111,1.799,37.632,,,,,,,,,,,,,,,,,
112,1.859,37.566,,,,,,,,,,,,,,,,,
113,1.839,38.130,,,,,,,,,,,,,,,,,
114,1.749,37.440,,,,,,,,,,,,,,,,,
115,1.768,36.967,,,,,,,,,,,,,,,,,
116,1.710,36.505,,,,,,,,,,,,,,,,,
117,1.854,37.272,,,,,,,,,,,,,,,,,
118,1.933,38.271,,,,,,,,,,,,,,,,,
119,1.932,38.015,,,,,,,,,,,,,,,,,
120,2.060,37.896,,,,,,,,,,,,,,,,,
121,1.758,36.388,,,,,,,,,,,,,,,,,
122,1.712,36.651,,,,,,,,,,,,,,,,,
123,1.578,36.551,,,,,,,,,,,,,,,,,
124,1.624,35.397,,,,,,,,,,,,,,,,,
125,1.584,36.230,,,,,,,,,,,,,,,,,
126,1.616,36.146,,,,,,,,,,,,,,,,,
127,1.694,36.671,,,,,,,,,,,,,,,,,
128,1.699,36.484,,,,,,,,,,,,,,,,,
129,1.695,36.393,,,,,,,,,,,,,,,,,
130,1.869,35.865,,,,,,,,,,,,,,,,,
131,1.717,35.919,,,,,,,,,,,,,,,,,
132,1.642,35.154,,,,,,,,,,,,,,,,,
133,1.759,37.150,,,,,,,,,,,,,,,,,
134,1.796,37.531,,,,,,,,,,,,,,,,,
135,1.730,37.192,,,,,,,,,,,,,,,,,
136,1.816,37.316,,,,,,,,,,,,,,,,,
137,1.781,37.918,,,,,,,,,,,,,,,,,
138,1.560,36.588,,,,,,,,,,,,,,,,,
139,1.545,36.984,,,,,,,,,,,,,,,,,
140,1.710,37.650,,,,,,,,,,,,,,,,,
141,1.724,37.248,,,,,,,,,,,,,,,,,
142,1.775,36.659,,,,,,,,,,,,,,,,,
143,1.730,36.517,,,,,,,,,,,,,,,,,
144,1.931,36.779,,,,,,,,,,,,,,,,,
145,2.165,38.522,,,,,,,,,,,,,,,,,
146,1.725,36.618,,,,,,,,,,,,,,,,,
147,1.930,37.395,,,,,,,,,,,,,,,,,
148,1.832,35.946,,,,,,,,,,,,,,,,,
149,1.835,36.623,,,,,,,,,,,,,,,,,
150,1.698,35.827,,,,,,,,,,,,,,,,,
151,1.727,37.053,,,,,,,,,,,,,,,,,
152,1.812,37.056,,,,,,,,,,,,,,,,,
153,1.694,36.703,,,,,,,,,,,,,,,,,
154,1.729,36.271,,,,,,,,,,,,,,,,,
155,1.799,36.727,,,,,,,,,,,,,,,,,
156,1.715,35.914,,,,,,,,,,,,,,,,,
157,1.944,36.671,,,,,,,,,,,,,,,,,
158,1.868,36.740,,,,,,,,,,,,,,,,,
159,1.838,36.618,,,,,,,,,,,,,,,,,
160,1.857,36.847,,,,,,,,,,,,,,,,,
161,1.750,37.240,,,,,,,,,,,,,,,,,
162,1.842,37.030,,,,,,,,,,,,,,,,,
163,1.609,35.116,,,,,,,,,,,,,,,,,
164,1.546,36.208,,,,,,,,,,,,,,,,,
165,1.631,36.480,,,,,,,,,,,,,,,,,
166,1.592,35.485,,,,,,,,,,,,,,,,,
167,1.598,35.607,,,,,,,,,,,,,,,,,
168,1.671,35.878,,,,,,,,,,,,,,,,,
169,1.734,37.362,,,,,,,,,,,,,,,,,
170,1.604,36.252,,,,,,,,,,,,,,,,,
171,1.727,37.359,,,,,,,,,,,,,,,,,
172,1.732,36.397,,,,,,,,,,,,,,,,,
173,1.670,36.656,,,,,,,,,,,,,,,,,
174,1.645,36.445,,,,,,,,,,,,,,,,,
175,1.776,37.235,,,,,,,,,,,,,,,,,
176,1.739,37.413,,,,,,,,,,,,,,,,,
177,1.753,37.009,,,,,,,,,,,,,,,,,
178,1.686,36.251,,,,,,,,,,,,,,,,,
179,1.764,36.318,,,,,,,,,,,,,,,,,
180,1.598,35.960,,,,,,,,,,,,,,,,,
181,1.645,35.999,,,,,,,,,,,,,,,,,
182,1.472,34.374,,,,,,,,,,,,,,,,,
183,1.682,36.360,,,,,,,,,,,,,,,,,
184,1.693,36.454,,,,,,,,,,,,,,,,,
185,1.609,36.527,,,,,,,,,,,,,,,,,
186,1.665,36.119,,,,,,,,,,,,,,,,,
187,1.503,36.594,,,,,,,,,,,,,,,,,
188,1.555,36.443,,,,,,,,,,,,,,,,,
189,1.666,37.490,,,,,,,,,,,,,,,,,
190,1.641,36.281,,,,,,,,,,,,,,,,,
191,1.594,36.357,,,,,,,,,,,,,,,,,
192,1.590,35.882,,,,,,,,,,,,,,,,,
193,1.682,36.721,,,,,,,,,,,,,,,,,
194,1.694,36.155,,,,,,,,,,,,,,,,,
195,1.629,36.269,,,,,,,,,,,,,,,,,
196,1.722,36.656,,,,,,,,,,,,,,,,,
197,1.735,36.947,,,,,,,,,,,,,,,,,
198,1.620,36.454,,,,,,,,,,,,,,,,,
199,1.776,36.739,,,,,,,,,,,,,,,,,
200,1.685,36.873,,,,,,,,,,,,,,,,,
201,1.705,36.438,,,,,,,,,,,,,,,,,
202,1.803,36.467,,,,,,,,,,,,,,,,,
203,1.807,36.975,,,,,,,,,,,,,,,,,
204,1.755,36.247,,,,,,,,,,,,,,,,,
205,1.712,39.231,,,,,,,,,,,,,,,,,
206,1.595,37.237,,,,,,,,,,,,,,,,,
207,1.547,37.073,,,,,,,,,,,,,,,,,
208,1.818,37.788,,,,,,,,,,,,,,,,,
209,1.666,36.992,,,,,,,,,,,,,,,,,
210,1.538,36.535,,,,,,,,,,,,,,,,,
